Date,Close,Open,High,Low,Vol.,Change %
2002-03-01,5097.41,5025.96,5116.14,5003.06,-,1.16%
2002-02-28,5039.08,4945.14,5072.43,4926.62,-,1.59%
2002-02-27,4960.22,4913.0,5003.68,4913.0,-,1.28%
2002-02-26,4897.75,4863.34,4937.02,4860.27,-,0.70%
2002-02-25,4863.54,4758.83,4867.09,4731.41,-,2.49%
2002-02-22,4745.58,4846.67,4846.67,4730.15,-,-2.17%
2002-02-21,4850.73,4797.93,4868.13,4788.4,-,1.47%
2002-02-20,4780.24,4765.9,4803.3,4706.01,-,0.34%
2002-02-19,4764.05,4855.7,4855.7,4757.73,-,-2.21%
2002-02-18,4871.76,4865.83,4894.49,4840.88,-,0.19%
2002-02-15,4862.6,4967.51,4969.86,4856.17,-,-2.24%
2002-02-14,4973.77,4945.23,4992.6,4916.55,-,0.78%
2002-02-13,4935.35,4891.01,4945.87,4834.15,-,1.04%
2002-02-12,4884.78,4945.75,4975.57,4858.81,-,-1.12%
2002-02-11,4940.0,4845.24,4945.37,4845.24,-,2.15%
2002-02-08,4835.95,4850.39,4896.55,4806.78,-,-0.55%
2002-02-07,4862.62,4798.03,4873.59,4730.7,-,1.21%
2002-02-06,4804.41,4937.19,4946.08,4778.36,-,-2.68%
2002-02-05,4936.75,4981.47,4981.47,4869.81,-,-0.96%
2002-02-04,4984.48,5088.83,5093.49,4984.48,-,-2.21%
2002-02-01,5097.06,5109.48,5165.97,5082.43,-,-0.21%
2002-01-31,5107.61,5068.89,5119.51,5054.42,-,1.10%
2002-01-30,5052.2,5065.62,5066.42,4980.7,-,-0.64%
2002-01-29,5084.52,5165.06,5205.63,5073.07,-,-1.44%
2002-01-28,5159.02,5156.52,5203.77,5129.24,-,0.05%
2002-01-25,5156.63,5168.52,5169.8,5081.72,-,-0.27%
2002-01-24,5170.44,5169.03,5219.85,5146.6,-,0.14%
2002-01-23,5163.03,5048.81,5169.53,5006.26,-,2.32%
2002-01-22,5045.72,5069.84,5136.42,5028.89,-,-0.47%
2002-01-21,5069.74,5122.4,5122.4,5021.21,-,-1.02%
2002-01-18,5122.23,5118.27,5133.62,5065.03,-,-0.22%
