Date,Open
06.03.2017,1112
03.03.2017,1095
02.03.2017,1114
01.03.2017,1099
28.02.2017,1116
27.02.2017,1130
24.02.2017,1143
22.02.2017,1168
21.02.2017,1151
20.02.2017,1149
17.02.2017,1175
16.02.2017,1176
15.02.2017,1180
14.02.2017,1174
13.02.2017,1171
10.02.2017,1163
09.02.2017,1165
08.02.2017,1176
07.02.2017,1182
06.02.2017,1190
03.02.2017,1176
02.02.2017,1169
01.02.2017,1162
31.01.2017,1174
30.01.2017,1192
27.01.2017,1160
26.01.2017,1153
25.01.2017,1156
24.01.2017,1136
23.01.2017,1138
20.01.2017,1140
19.01.2017,1148
18.01.2017,1156
17.01.2017,1152
16.01.2017,1158
13.01.2017,1175
12.01.2017,1173
11.01.2017,1169
10.01.2017,1158
09.01.2017,1172
06.01.2017,1177
05.01.2017,1180
04.01.2017,1181
03.01.2017,1147
30.12.2016,1150
29.12.2016,1139
28.12.2016,1137
27.12.2016,1123
26.12.2016,1121
23.12.2016,1123
22.12.2016,1135
21.12.2016,1141
20.12.2016,1126
19.12.2016,1133
16.12.2016,1142
15.12.2016,1125
14.12.2016,1168
13.12.2016,1148
12.12.2016,1118
09.12.2016,1100
08.12.2016,1080
07.12.2016,1062
06.12.2016,1065
05.12.2016,1048
02.12.2016,1044
01.12.2016,1036
30.11.2016,1010
29.11.2016,1016
28.11.2016,1017
25.11.2016,1026
24.11.2016,1019
23.11.2016,1022
22.11.2016,1016
21.11.2016,995
18.11.2016,992
17.11.2016,987
16.11.2016,993
15.11.2016,966
14.11.2016,974
11.11.2016,983
10.11.2016,995
09.11.2016,959
08.11.2016,970
07.11.2016,973
03.11.2016,977
02.11.2016,989
01.11.2016,989
31.10.2016,992
28.10.2016,994
27.10.2016,989
26.10.2016,999
25.10.2016,995
24.10.2016,990
21.10.2016,986
20.10.2016,994
19.10.2016,988
18.10.2016,977
17.10.2016,982
14.10.2016,987
13.10.2016,995
12.10.2016,1005
11.10.2016,1016
10.10.2016,1003
07.10.2016,1007
06.10.2016,996
05.10.2016,997
04.10.2016,1005
03.10.2016,993
30.09.2016,993
29.09.2016,998
28.09.2016,975
27.09.2016,985
26.09.2016,985
23.09.2016,1000
22.09.2016,990
21.09.2016,970
20.09.2016,967
19.09.2016,960
16.09.2016,971
15.09.2016,968
14.09.2016,966
13.09.2016,985
12.09.2016,980
09.09.2016,1006
08.09.2016,1011
07.09.2016,996
06.09.2016,978
05.09.2016,972
02.09.2016,945
01.09.2016,952
31.08.2016,958
30.08.2016,967
29.08.2016,964
26.08.2016,966
25.08.2016,958
24.08.2016,969
23.08.2016,960
22.08.2016,964
19.08.2016,976
18.08.2016,972
17.08.2016,973
16.08.2016,972
15.08.2016,958
12.08.2016,957
11.08.2016,942
10.08.2016,951
09.08.2016,952
08.08.2016,936
05.08.2016,932
04.08.2016,915
03.08.2016,904
02.08.2016,916
01.08.2016,930
29.07.2016,923
28.07.2016,925
27.07.2016,926
26.07.2016,930
25.07.2016,937
22.07.2016,941
21.07.2016,948
20.07.2016,949
19.07.2016,962
18.07.2016,961
15.07.2016,968
14.07.2016,956
13.07.2016,955
12.07.2016,939
11.07.2016,931
08.07.2016,914
07.07.2016,925
06.07.2016,926
05.07.2016,938
04.07.2016,937
01.07.2016,931
30.06.2016,931
29.06.2016,915
28.06.2016,890
27.06.2016,909
24.06.2016,920
23.06.2016,919
22.06.2016,942
21.06.2016,932
20.06.2016,917
17.06.2016,898
16.06.2016,905
15.06.2016,897
14.06.2016,916
10.06.2016,943
09.06.2016,966
08.06.2016,952
07.06.2016,925
06.06.2016,908
03.06.2016,892
02.06.2016,889
01.06.2016,897
31.05.2016,927
30.05.2016,920
27.05.2016,915
26.05.2016,916
25.05.2016,899
24.05.2016,880
23.05.2016,891
20.05.2016,896
19.05.2016,910
18.05.2016,928
17.05.2016,928
16.05.2016,920
13.05.2016,923
12.05.2016,926
11.05.2016,898
10.05.2016,905
06.05.2016,911
05.05.2016,911
04.05.2016,941
29.04.2016,959
28.04.2016,936
27.04.2016,943
26.04.2016,924
25.04.2016,930
22.04.2016,920
21.04.2016,952
20.04.2016,920
19.04.2016,903
18.04.2016,896
15.04.2016,911
14.04.2016,917
13.04.2016,912
12.04.2016,899
11.04.2016,880
08.04.2016,862
07.04.2016,869
06.04.2016,856
05.04.2016,852
04.04.2016,864
01.04.2016,874
31.03.2016,860
30.03.2016,857
29.03.2016,850
28.03.2016,861
25.03.2016,859
24.03.2016,858
23.03.2016,886
22.03.2016,885
21.03.2016,878
18.03.2016,875
17.03.2016,854
16.03.2016,823
15.03.2016,842
14.03.2016,845
11.03.2016,832
10.03.2016,835
09.03.2016,837
07.03.2016,823
04.03.2016,802
03.03.2016,792
02.03.2016,795
01.03.2016,771
29.02.2016,749
26.02.2016,759
25.02.2016,749
24.02.2016,757
22.02.2016,733
20.02.2016,729
19.02.2016,741
18.02.2016,742
17.02.2016,708
16.02.2016,713
15.02.2016,698
12.02.2016,678
11.02.2016,692
10.02.2016,681
09.02.2016,697
08.02.2016,724
05.02.2016,732
04.02.2016,723
03.02.2016,692
02.02.2016,721
01.02.2016,744
29.01.2016,731
28.01.2016,707
27.01.2016,686
26.01.2016,671
25.01.2016,696
22.01.2016,645
21.01.2016,631
20.01.2016,653
19.01.2016,649
18.01.2016,649
15.01.2016,693
14.01.2016,690
13.01.2016,694
12.01.2016,693
11.01.2016,723
06.01.2016,753
05.01.2016,747
04.01.2016,755
30.12.2015,769
29.12.2015,754
28.12.2015,772
25.12.2015,781
24.12.2015,790
23.12.2015,760
22.12.2015,760
21.12.2015,765
18.12.2015,788
17.12.2015,786
16.12.2015,785
15.12.2015,764
14.12.2015,768
11.12.2015,789
10.12.2015,787
09.12.2015,780
08.12.2015,789
07.12.2015,812
04.12.2015,831
03.12.2015,827
02.12.2015,839
01.12.2015,845
30.11.2015,851
27.11.2015,873
26.11.2015,881
25.11.2015,870
24.11.2015,894
23.11.2015,887
20.11.2015,881
19.11.2015,885
18.11.2015,864
17.11.2015,834
16.11.2015,815
13.11.2015,824
12.11.2015,839
11.11.2015,852
10.11.2015,853
09.11.2015,856
06.11.2015,878
05.11.2015,889
03.11.2015,856
02.11.2015,843
30.10.2015,837
29.10.2015,852
28.10.2015,837
27.10.2015,856
26.10.2015,873
23.10.2015,863
22.10.2015,855
21.10.2015,873
20.10.2015,868
19.10.2015,881
16.10.2015,885
15.10.2015,867
14.10.2015,858
13.10.2015,866
12.10.2015,883
09.10.2015,865
08.10.2015,841
07.10.2015,831
06.10.2015,804
05.10.2015,769
02.10.2015,781
01.10.2015,791
30.09.2015,784
29.09.2015,769
28.09.2015,788
25.09.2015,771
24.09.2015,779
23.09.2015,792
22.09.2015,810
21.09.2015,814
18.09.2015,828
17.09.2015,836
16.09.2015,811
15.09.2015,807
14.09.2015,797
11.09.2015,800
10.09.2015,789
09.09.2015,797
08.09.2015,777
07.09.2015,787
04.09.2015,801
03.09.2015,796
02.09.2015,799
01.09.2015,844
31.08.2015,826
28.08.2015,809
27.08.2015,762
26.08.2015,756
25.08.2015,727
24.08.2015,747
21.08.2015,788
20.08.2015,791
19.08.2015,809
18.08.2015,824
17.08.2015,831
14.08.2015,828
13.08.2015,833
12.08.2015,829
11.08.2015,850
10.08.2015,832
07.08.2015,824
06.08.2015,839
05.08.2015,838
04.08.2015,828
03.08.2015,852
31.07.2015,863
30.07.2015,868
29.07.2015,843
28.07.2015,838
27.07.2015,859
24.07.2015,882
23.07.2015,896
22.07.2015,904
21.07.2015,899
20.07.2015,912
17.07.2015,916
16.07.2015,907
15.07.2015,909
14.07.2015,914
13.07.2015,903
10.07.2015,890
09.07.2015,876
08.07.2015,890
07.07.2015,899
06.07.2015,914
03.07.2015,931
02.07.2015,927
01.07.2015,940
30.06.2015,926
29.06.2015,938
26.06.2015,940
25.06.2015,951
24.06.2015,966
23.06.2015,978
22.06.2015,969
19.06.2015,980
18.06.2015,973
17.06.2015,978
16.06.2015,957
15.06.2015,947
11.06.2015,958
10.06.2015,944
09.06.2015,926
08.06.2015,924
05.06.2015,916
04.06.2015,946
03.06.2015,977
02.06.2015,953
01.06.2015,975
29.05.2015,992
28.05.2015,1008
27.05.2015,1022
26.05.2015,1044
25.05.2015,1050
22.05.2015,1044
21.05.2015,1035
20.05.2015,1056
19.05.2015,1076
18.05.2015,1075
15.05.2015,1057
14.05.2015,1077
13.05.2015,1072
12.05.2015,1058
08.05.2015,1058
07.05.2015,1059
06.05.2015,1074
05.05.2015,1033
30.04.2015,1031
29.04.2015,1027
28.04.2015,1016
27.04.2015,1041
24.04.2015,1030
23.04.2015,1009
22.04.2015,1004
21.04.2015,995
20.04.2015,1004
17.04.2015,1065
16.04.2015,1060
15.04.2015,1017
14.04.2015,1011
13.04.2015,984
10.04.2015,1008
09.04.2015,987
08.04.2015,969
07.04.2015,967
06.04.2015,934
03.04.2015,934
02.04.2015,908
01.04.2015,878
31.03.2015,881
30.03.2015,855
27.03.2015,870
26.03.2015,889
25.03.2015,882
24.03.2015,859
23.03.2015,868
20.03.2015,845
19.03.2015,866
18.03.2015,826
17.03.2015,816
16.03.2015,825
13.03.2015,856
12.03.2015,855
11.03.2015,842
10.03.2015,896
06.03.2015,913
05.03.2015,896
04.03.2015,918
03.03.2015,899
02.03.2015,901
27.02.2015,905
26.02.2015,897
25.02.2015,888
24.02.2015,897
20.02.2015,912
19.02.2015,927
18.02.2015,906
17.02.2015,897
16.02.2015,912
13.02.2015,876
12.02.2015,853
11.02.2015,845
10.02.2015,836
09.02.2015,827
06.02.2015,805
05.02.2015,765
04.02.2015,797
03.02.2015,752
02.02.2015,754
30.01.2015,751
29.01.2015,762
28.01.2015,790
27.01.2015,756
26.01.2015,815
23.01.2015,821
22.01.2015,782
21.01.2015,760
20.01.2015,765
19.01.2015,769
16.01.2015,754
15.01.2015,756
14.01.2015,738
13.01.2015,755
12.01.2015,776
09.01.2015,810
08.01.2015,746
06.01.2015,755
05.01.2015,785
30.12.2014,774
29.12.2014,827
26.12.2014,845
25.12.2014,820
24.12.2014,800
23.12.2014,811
22.12.2014,779
19.12.2014,753
18.12.2014,739
17.12.2014,667
16.12.2014,710
15.12.2014,792
12.12.2014,814
11.12.2014,855
10.12.2014,861
09.12.2014,867
08.12.2014,912
05.12.2014,917
04.12.2014,948
03.12.2014,925
02.12.2014,964
01.12.2014,963
28.11.2014,997
27.11.2014,1024
26.11.2014,1045
25.11.2014,1073
24.11.2014,1060
21.11.2014,1043
20.11.2014,1021
19.11.2014,1020
18.11.2014,1007
17.11.2014,1001
14.11.2014,1008
13.11.2014,1042
12.11.2014,1030
11.11.2014,1042
10.11.2014,1011
07.11.2014,1011
06.11.2014,1050
05.11.2014,1071
03.11.2014,1085
31.10.2014,1103
30.10.2014,1056
29.10.2014,1052
28.10.2014,1039
27.10.2014,1041
24.10.2014,1035
23.10.2014,1045
22.10.2014,1066
21.10.2014,1054
20.10.2014,1075
17.10.2014,1051
16.10.2014,1068
15.10.2014,1072
14.10.2014,1077
13.10.2014,1061
10.10.2014,1081
09.10.2014,1092
08.10.2014,1102
07.10.2014,1120
06.10.2014,1096
03.10.2014,1093
02.10.2014,1111
01.10.2014,1122
30.09.2014,1127
29.09.2014,1159
26.09.2014,1171
25.09.2014,1191
24.09.2014,1168
23.09.2014,1152
22.09.2014,1168
19.09.2014,1188
18.09.2014,1189
17.09.2014,1199
16.09.2014,1195
15.09.2014,1212
12.09.2014,1217
11.09.2014,1242
10.09.2014,1243
09.09.2014,1246
08.09.2014,1254
05.09.2014,1237
04.09.2014,1241
03.09.2014,1179
02.09.2014,1177
01.09.2014,1192
29.08.2014,1218
28.08.2014,1259
27.08.2014,1262
26.08.2014,1267
25.08.2014,1260
22.08.2014,1275
21.08.2014,1256
20.08.2014,1251
19.08.2014,1244
18.08.2014,1233
15.08.2014,1231
14.08.2014,1221
13.08.2014,1198
12.08.2014,1203
11.08.2014,1181
08.08.2014,1156
07.08.2014,1158
06.08.2014,1189
05.08.2014,1213
04.08.2014,1213
01.08.2014,1215
31.07.2014,1223
30.07.2014,1202
29.07.2014,1208
28.07.2014,1242
25.07.2014,1264
24.07.2014,1269
23.07.2014,1268
22.07.2014,1244
21.07.2014,1277
18.07.2014,1278
17.07.2014,1336
16.07.2014,1342
15.07.2014,1358
14.07.2014,1379
11.07.2014,1384
10.07.2014,1408
09.07.2014,1391
08.07.2014,1383
07.07.2014,1359
04.07.2014,1389
03.07.2014,1391
02.07.2014,1361
01.07.2014,1361
30.06.2014,1379
27.06.2014,1378
26.06.2014,1385
25.06.2014,1412
24.06.2014,1373
23.06.2014,1361
20.06.2014,1368
19.06.2014,1372
18.06.2014,1344
17.06.2014,1357
16.06.2014,1356
11.06.2014,1367
10.06.2014,1363
09.06.2014,1359
06.06.2014,1337
05.06.2014,1326
04.06.2014,1321
03.06.2014,1318
02.06.2014,1297
30.05.2014,1315
29.05.2014,1301
28.05.2014,1297
27.05.2014,1335
26.05.2014,1328
23.05.2014,1311
22.05.2014,1322
21.05.2014,1298
20.05.2014,1291
19.05.2014,1262
16.05.2014,1250
15.05.2014,1262
14.05.2014,1254
13.05.2014,1234
12.05.2014,1233
08.05.2014,1230
07.05.2014,1169
06.05.2014,1144
05.05.2014,1144
02.05.2014,1151
30.04.2014,1153
29.04.2014,1149
28.04.2014,1114
25.04.2014,1140
24.04.2014,1174
23.04.2014,1178
22.04.2014,1186
21.04.2014,1200
18.04.2014,1194
17.04.2014,1157
16.04.2014,1146
15.04.2014,1175
14.04.2014,1200
11.04.2014,1199
10.04.2014,1196
09.04.2014,1195
08.04.2014,1194
07.04.2014,1225
04.04.2014,1213
03.04.2014,1222
02.04.2014,1236
01.04.2014,1227
31.03.2014,1187
28.03.2014,1180
27.03.2014,1193
26.03.2014,1176
25.03.2014,1135
24.03.2014,1135
21.03.2014,1127
20.03.2014,1142
19.03.2014,1160
18.03.2014,1121
17.03.2014,1070
14.03.2014,1064
13.03.2014,1104
12.03.2014,1126
11.03.2014,1153
07.03.2014,1163
06.03.2014,1182
05.03.2014,1188
04.03.2014,1121
03.03.2014,1239
28.02.2014,1262
27.02.2014,1285
26.02.2014,1306
25.02.2014,1321
24.02.2014,1315
21.02.2014,1305
20.02.2014,1300
19.02.2014,1342
18.02.2014,1347
17.02.2014,1343
14.02.2014,1321
13.02.2014,1353
12.02.2014,1341
11.02.2014,1336
10.02.2014,1341
07.02.2014,1330
06.02.2014,1317
05.02.2014,1291
04.02.2014,1293
03.02.2014,1301
31.01.2014,1320
30.01.2014,1308
29.01.2014,1332
28.01.2014,1346
27.01.2014,1364
24.01.2014,1381
23.01.2014,1391
22.01.2014,1395
21.01.2014,1394
20.01.2014,1395
17.01.2014,1397
16.01.2014,1401
15.01.2014,1388
14.01.2014,1401
13.01.2014,1395
10.01.2014,1388
